Kommun	Kommunnummer	År
ARBETSMARKNADSFÖRVALT. *MBOL*	-	2017
ARBOGA KOMMUN *MBOL*	1984	2017
ARVIKA KOMMUN STORKÖK	1784	2017
ASKERSUNDS KOMMUN *MBOL*	1882	2017
BARNSTUGAN HÄLSINGEG 14-16 AB	-	2017
BOLLEBYGDS KOMMUN	1443	2017
BORLÄNGE KOMMUN	2081	2017
BORÅS STAD	1490	2017
BOTKYRKA KOMMUN *FBOL*	0127	2017
BROMMA SDF *MBOL*	0180	2017
BROMÖLLA KOMMUN	1272	2017
BURLÖVS KOMMUN	1231	2017
DALSLANDS KOMMUNER	1460&1438&1439&1461&1492	2017
DALSLANDS KOMMUNER KIOSK *MBOL	1460&1438&1439&1461&1492	2017
DANDERYD KOMMUN *MBOL*	0162	2017
EDA KOMMUN	1730	2017
EDA KOMMUN SMÅKÖK	1730	2017
EKSJÖ KOMMUN *FBOL*	0686	2017
ENSKEDE ÅRSTA VANTÖR SDF *MBOL	0180	2017
ESLÖVS KOMMUN	1285	2017
FAGERSTA KOMMUN *FBOL*	1982	2017
FALU KOMMUN	2080	2017
FARSTA SDF *MBOL*	0180	2017
FILIPSTADS KOMMUN	1782	2017
FINSPÅNG KOMMUN	0562	2017
FORSHAGA *MBOL*	1763	2017
FRUKTSERVICE I HELSINGBORG AB	-	2017
FRÖSUNDA OMSORG *MBOL*	-	2017
FYRISHOV UPPSALA KOMMUN *MBOL*	0380	2017
FÄRGELANDA KOMMUN	1439	2017
GAGNEF KOMMUN	2026	2017
GISLAVEDS KOMMUN *MBOL*	0662	2017
GNOSJÖ KOMMUN *MBOL*	0617	2017
GRUMS KOMMUN *MBOL*	1764	2017
GRYNING VÅRD AB	-	2017
GRÄSTORP/ESSUNGA *MBOL*	1445&1444&&&	2017
HABO KOMMUN	0643	2017
HAGFORS KOMMUN *MBOL*	1783	2017
HALLSBERGS KOMMUN  *MBOL*	1861	2017
HALLSTAHAMMARS KOMMUN *FBOL*	1961	2017
HAMMARÖ KOMMUN	1761	2017
HANINGE KOMMUN *MBOL*	0136	2017
HEDEMORA KOMMUN	2083	2017
HELSINGBORGS STAD FB *FBOL*	1283	2017
