Rad-nummer	Vårtfacit	Compere	DKAB	Menigo	Hantera	MS	Slask1	Typ1	Slask2	Typ2	Slask3	Typ3	Slask4	Typ4	Slask5	Typ5	Slask6	Typ6	Slask7	Typ7	Slask8	Typ8	Slask9	Typ9	Slask10	Typ10	Slask11	Typ11	Slask12	Typ12	Slask13	Typ13	Slask14	Typ14	Slask15	Typ15	Slask16	Typ16	Slask17	Typ17	Slask18	Typ18	Slask19	Typ19	Slask20	Typ20	Slask21	Typ21	Slask22	Typ22	Slask23	Typ23	Slask24	Typ24	Slask25	Typ25	Slask26	Typ26	Slask27	Typ27	Slask28	Typ28	Slask29	Typ29	Slask30	Typ30	Slask31	Typ31	Slask32	Typ32	Slask33	Typ33	Slask34	Typ34	Slask35	Typ35	Slask36	Typ36	Slask37	Typ37	Slask38	Typ38	Slask39	Typ39	Slask40	Typ40	Slask41	Typ41	Slask42	Typ42	Slask43	Typ43	Slask44	Typ44	Slask45	Typ45	Slask46	Typ46	Slask47	Typ47	Slask48	Typ48	Slask49	Typ49	Slask50	Typ50
1	Aluminium, Plastfilm	Aluminium, Plastfilm	Aluminiumfolie,plastfilm,dispenser		Aluminiumfolie,plastfilm,dispenser	Aluminium-Plastfilm,dispenser 																																																																																																				
2	Bakform, Bakplåtspapper	Bakform, Bakplåtspapper	Bageripapp,kartong,bakformar	Bageripapp,kartong,bakformar	#N/A	Bageripapp,kart,bakf,snören   	Fat/tårtpapper, bakformar	Menigo																																																																																																		
3	Bakmixer, Äggmixer	Bakmixer, Äggmixer	#N/A	Mixer bak, våfflor m.m.	Bakmixer/äggmixer	Bakmixer																																																																																																				
4	Baktillbehör	Baktillbehör	Baktillbehör		Baktillbehör	Bakpulver etc                 	Marsipan, mandelmassa         	M&S	Jäst och bakartiklar	M&S	Gelatin, kemikalier           	Menigo	Bak, aromer färger	M&S	Jordnötssmör                  	Menigo	Bageriprodukter	Menigo	Jäst färsk	Menigo	Essenser, livsmedelsfärg      	Menigo	Kakao och snabbchoklad        	Menigo	Jäst, bakpulver               	Menigo	Nötter                        	Menigo	Tårtdekorationer              	Menigo	Nötter f bak/matlagning       	M&S	Bakartiklar övrigt            	M&S	Tårtbottnar, anslagsbottnar   	m&s	Vaniljsocker, vaniljkräm	m&s																																																																				
5	Baljväxter	Baljväxter	Baljväxter/Frö	Torkade produkter, ärter, böno	Baljväxter/frö	Frö,linser,cous,grodd,bovete	Bruna bönor, ärtor torra	M&S	Ärtor bönor                   	M&S																																																																																																
6	Barnmat	Barnmat	Barnmat	Barnmat                       	Barnmat	Barnmat                       	Välling                       	M&S	Gröt, välling	Menigo																																																																																																
7	Berikning	Berikning	Berikning		Berikning																																																																																																					
8	Bestick, Sugrör engångs	Bestick, Sugrör engångs	Bestick,sugrör engångs		Bestick,sugrör engångs	Bestick, kobbelrör engångs    																																																																																																				
9	Buljonger, Fonder, Glacé	Buljonger, Fonder, Glacé	Buljonger/Fonder/Glacé	Buljonger	Buljonger/fonder/glacé	Buljong, fond, consommé       	Såser, dressing, fonder       	Menigo	Senap, senapspulver           	M&S																																																																																																
10	Bägare, Koppar engångs	Bägare, Koppar engångs	Bägare,grepp,koppar engångs		Bägare,grepp,koppar engångs	Bägare,grepp,koppar engångs																																																																																																				
12	Cocktailtillbehör	Cocktailtillbehör	Cocktailtillbehör	Bartillbehör                  	Cocktailtillbehör	Cocktailtillbehör             	Drinkbaser                    	Menigo																																																																																																		
13	Desserter, Mellanmål	Desserter, Mellanmål	Desserter/Mellanmål	Dessert övriga	Desserter/mellanmål	Risifrutti etc.	Dessert såser	Menigo	Dessert soppor                	Menigo	Dessert krämer	Menigo	Dessert fromage, mousse, puddi	Menigo	Dessert efterrätter övriga    	Menigo	Dessert såser, krämer         	Menigo	Dessert tillbehör             	Menigo	Krämer,kompotter (färdiga)    	M&S	Soppor,Dessert                	M&S	Ostkaka, övr desserter      df	M&S	Ostkaka, puddingar	Menigo	Dessertpulver, fromage	M&S																																																																												
14	Diskborstar-trasor, Stålull	Diskborstar-trasor, Stålull	Disk,skurduk,borste,svamp	Städ/diskdukar                	Disk,skurduk,borste,svamp	Disk-skurduk-borste-svamp.	Städredskap	DKAB	Städredskap	Hantera	Disk och städ                 	Menigo	Disk och städ                 	M&S																																																																																												
15	Dressingar, Kryddsåser, Soja	Dressingar, Kryddsåser, Soja	Dressingar/Kryddsåser/Soja	Dressingar                    	Dressingar/kryddsåser/soja	Dressing,såser                																																																																																																				
16	Dukar,Tabletter	Dukar,Tabletter	Dukar,tabletter,löpare	Dukar, tabletter              	Dukar,tabletter,löpare	Dukar,Tabletter och Löpare    																																																																																																				
17	Fisk oberedd	Fisk oberedd	Fisk oberedd	Fisk, Laxfiskar	Fisk oberedd		Fisk, Makrill                 	Menigo	Fisk, Plattfiskar	Menigo	Fisk, Sill och strömming	Menigo	Fisk, Torskfiskar	Menigo	Transitlev.färsk fisk	M&S	Ansjovis                      	M&S	Lax rökt rim grav kotl sida fi	M&S	Transit Fisk skaldjur	M&S																																																																																				
18	Fiskkonserver	Fiskkonserver	Fiskkonserver	Konserver, fisk	Fiskkonserver	Fiskkonserver                 	Sill, sillinläggningar	M&S																																																																																																		
19	Fiskprodukter	Fiskprodukter	Fiskprodukter	Fiskgratänger	Fiskprodukter		Fisk, Rökt och gravad	Menigo	Fiskrätter övriga             	Menigo	Fisk, rökt,gravad,rimmad    df	M&S	Fiskgrat,pudd,bullar,medalj,öv	M&S	Fiskprodukter först inb ugnsf	M&S	Fiskprodukter panerade råa  df	M&S																																																																																								
20	Formar Alumin, Plast	Formar Alumin, Plast	Aluminium-/plastformar,uppläggningsfat	Folie, film och formar	Aluminium-/plastformar,uppläggningsfat	Formar-Alumin,Plast,Uppläggfat																																																																																																				
21	Frukostcerealier	Frukostcerealier	Frukostcerealier		Frukostcerealier	Cornflakes	Musli, övr frukost            	M&S																																																																																																		
22	Frukt, Bär	Frukt, Bär	Frukt/bär	Bär	Frukt/bär	Bär	Stenfrukter	M&S	Frukt övr	M&S	Banan	M&S	Melon                         	M&S	Citrus                        	M&S	Päron	M&S	Frukt	Menigo	Äpple	m&s	Vindruva	m&s	Direktlev.frukt/gr	M&S	Fruktblandn bearbetat         	M&S	Fruktkonserver osötade        	M&S	Frukt bearbetat               	M&S																																																																										
23	Frukt, Bär konserverade	Frukt, Bär konserverade	Frukt/Bär konserverade	Frukt konserverad             	Frukt/bär konserverade	Fruktkonserver                	Oliver	M&S																																																																																																		
24	Fågel oberedd	Fågel oberedd	Fågel oberedd	Fågel	Fågel oberedd	Fågel                       fv	Fågel, obehandlade	Menigo	"Fågelprodukter; råa         df"	M&S																																																																																																
25	Fågelprodukter	Fågelprodukter	Fågelprodukter	Fågel, behandlade             	Fågelprodukter																																																																																																					
26	Färdiga rätter	Färdiga rätter	Färdiga rätter	Färdigmat övrig               	Färdiga rätter	"Färdigmat; 1-portion        df"	Portionsmat                   	Menigo	Färdigmat övrigt            df	M&S	Färdigmat Gratänger fv	M&S	Färdigmat,konserv	M&S	Deli, lufttorkat och ölkorv	Menigo	Plockmat/fingerfood	Menigo	Plockmat/fingerfood	DKAB	Popp,zappers,fingerf ej fåg-fi	M&S	Sojabas prod (färs,korv etc)  	M&S	Patéer                        	Menigo	Vegetariska rätter          df	M&S	Smörgåsar färdiga             	Menigo	Salladskonserver	M&S																																																																										
27	För och huvudrättsbakverk med fyllning	För och huvudrättsbakverk med fyllning	För- och huvudrättsbakverk med fyllning		För- och huvudrättsbakverk med fyllning																																																																																																					
28	Glass	Glass	Glass	Glass och sorbet	Glass	"Glass; lösvikt              df"	Glassmix och milkshake        	Menigo	Glass/milkshakepulver	M&S	"Glass; pinne,bakelse,bägare df"	M&S																																																																																														
29	Glasstillbehör	Glasstillbehör	Glasstillbehör	Glasstillbehör                	Glasstillbehör																																																																																																					
30	Gryn	Gryn	Gryn	Gryn, frukostflingor          	Gryn	Gryner                        																																																																																																				
31	Gräddade/ogräddade skal o bottnar	Gräddade/ogräddade skal o bottnar	Gräddade/ogräddade skal/bottnar		Gräddade/ogräddade skal/bottnar																																																																																																					
32	Grönsaker	Grönsaker	Grönsaker	Grönsaker	Grönsaker	Grönsak mini	Grönsaker enkla, örtkryddor   	Menigo	Grönsaker färdigskuren	Menigo	Grönsaker udda                	Menigo	Grönsaksblandningar	Menigo	"Grönsaker; blandningar      df"	M&S	Grönsaker                   df	M&S	Grönsaker (kylda)	M&S	Grönsaker allmänna	M&S	Grönsaker bearbetat           	M&S	Grönsaker udda                	M&S	Gurka                         	M&S	Lök	M&S	Lök bearbetat                 	M&S	Paprika	M&S	Pumpa	M&S	Tomat	M&S	Grodd & Skott                 	M&S	Salladsblandn bearbetat       	M&S	Morot	M&S	Sallat                        	M&S	Sallat bearbetat	M&S	Rödbetor                      	M&S	Sallader	M&S	Kryddgrönt                    	M&S	Kål	M&S																																																		
33	Grönsakskonserver	Grönsakskonserver	Grönsakskonserver	Grönsakskonserver             	Grönsakskonserver	Grönsakskonserver																																																																																																				
34	Grönsaksrätter	Grönsaksrätter	Grönsaksrätter	Grönsaksrätter	Grönsaksrätter																																																																																																					
35	Hamburgerbröd, Korvbröd	Hamburgerbröd, Korvbröd	Fast food bröd		Fast food bröd																																																																																																					
36	Handdiskmedel	Handdiskmedel	Handdiskmedel	Diskmedel	Handdiskmedel	Handdiskmedel																																																																																																				
37	Hygien, Personligt	Hygien, Personligt	Hygien,personligt		Hygien,personligt		Tvål, schampo, tandkräm, tandp	Menigo	Hygien,Personligt             	M&S																																																																																																
38	Hygienpapper,hållare	Hygienpapper,hållare	Hygienpapper,hållare		Hygienpapper,hållare	Hygienpapper,hållare																																																																																																				
39	Hårt bröd, Torra bakverk	Hårt bröd, Torra bakverk	Hårt bröd/Torra bakverk	Hårt bröd                     	Hårt bröd/torra bakverk	Skorpor, kex                  	Kex, skorpor och ströbröd     	Menigo	Knäcke,tunnbr,matbr,grissini  	M&S																																																																																																
40	Juice, Saft, Drycker	Juice, Saft, Drycker	Juice/Nektar/Saft/Drycker	Dryck Juice, nektar	Juice/nektar/saft/drycker	Juice (kolonial)              	Dryck Drickfärdig             	Menigo	Dryck Cider	Menigo	Dryck för varmdrycksautomat   	Menigo	Dryck Läskedrycker            	Menigo	Dryck Saft, måltidsdricka	Menigo	Dryck Vatten	Menigo	Dryck övrig                   	Menigo	Cider                         	M&S	Läsk och cider	M&S	Läsk, returglas               	M&S	Lättdrycker	M&S	Måltidsdryck	M&S	Saft                          	M&S	Stilldrink                    	M&S	Vatten                        	M&S	Vatten, returglas	M&S	Glögg	menigo	Alkoholfria drycker	M&S	"Osockr; måltidsdryck, saft"	M&S	Energidryck, funktionsdryck	M&S	Juice (kyld)	M&S	Soppor, såser, juice df       	M&S																																																								
41	Kaffe	Kaffe	Kaffe	Kaffe	Kaffe	Kaffe <500g                   	Kaffe, snabb                  	Menigo	Kaffe >500g	M&S	Kaffe Automat                 	M&S	Kaffe fryst ex. Merrild     df	M&S	"Kaffe; espresso, bönor"	M&S	"Kaffe; frystorkat             "	Menigo	Kaffesyrup, smaksättning      	Menigo																																																																																						
42	Kaffebröd, Degämne, Smördeg	Kaffebröd, Degämne, Smördeg	Kaffebröd- Degämne	Deg, smördeg                  	Kaffebröd- degämne	"Kaffebröd; bake-off         df"	Smördegsprodukter	Menigo																																																																																																		
43	Kaffebröd, Konditori	Kaffebröd, Konditori	Kaffebröd/Konditori	Kaffebröd, bakverk, kakor	Kaffebröd/konditori	Kaffebröd,tårtor färdiga    df	Delicato kakor                	M&S	Kakor                         	M&S																																																																																																
44	Kaffefilter	Kaffefilter	Kaffefilter	Filter, kaffetillbehör	Kaffefilter	Kaffefilter																																																																																																				
45	Kaviar, Rom	Kaviar, Rom	Romprodukter	Löjrom, fiskrom               	Romprodukter	Kaviar, rom, böckling         	Löjrom sikrom forellrom kaviar	M&S																																																																																																		
46	Kolsyrade drycker	Kolsyrade drycker	Kolsyrade drycker		Kolsyrade drycker																																																																																																					
47	Konfektyrer	Konfektyrer	Konfektyrer	Konfektyr                     	Konfektyrer	Övrigt godis	Choklad inkl askar	M&S	Choklad, Block och Bak        	M&S	Choklad, dekorationer och form	M&S	Lösgodis	M&S	Lösgodis inslagen             	M&S	Påsgodis                      	M&S	Tuggummi, tabletter, halstabl	M&S	Stycksaker inkl displaykart   	M&S																																																																																				
48	Kosttillägg	Kosttillägg	Kosttillägg		Kosttillägg																																																																																																					
49	Kryddor	Kryddor	Kryddor		Kryddor	Kryddor	Kryddor, örter, peppar	Menigo	Kryddor Cajun                 	Menigo	Chili	Hantera																																																																																														
