Länskod;Kommunkod;
1;0114;'0114':1,
1;0115;'0115':1,
1;0117;'0117':1,
1;0120;'0120':1,
1;0123;'0123':1,
1;0125;'0125':1,
1;0126;'0126':1,
1;0127;'0127':1,
1;0128;'0128':1,
1;0136;'0136':1,
1;0138;'0138':1,
1;0139;'0139':1,
1;0140;'0140':1,
1;0160;'0160':1,
1;0162;'0162':1,
1;0163;'0163':1,
1;0180;'0180':1,
1;0181;'0181':1,
1;0182;'0182':1,
1;0183;'0183':1,
1;0184;'0184':1,
1;0186;'0186':1,
1;0187;'0187':1,
1;0188;'0188':1,
1;0191;'0191':1,
1;0192;'0192':1,
3;0305;'0305':3,
3;0319;'0319':3,
3;0330;'0330':3,
3;0331;'0331':3,
3;0360;'0360':3,
3;0380;'0380':3,
3;0381;'0381':3,
3;0382;'0382':3,
4;0428;'0428':4,
4;0461;'0461':4,
4;0480;'0480':4,
4;0481;'0481':4,
4;0482;'0482':4,
4;0483;'0483':4,
4;0484;'0484':4,
4;0486;'0486':4,
4;0488;'0488':4,
5;0509;'0509':5,
5;0512;'0512':5,
5;0513;'0513':5,
5;0560;'0560':5,
5;0561;'0561':5,
5;0562;'0562':5,
5;0563;'0563':5,
5;0580;'0580':5,
5;0581;'0581':5,
5;0582;'0582':5,
5;0583;'0583':5,
5;0584;'0584':5,
5;0586;'0586':5,
6;0604;'0604':6,
6;0617;'0617':6,
6;0642;'0642':6,
6;0643;'0643':6,
6;0662;'0662':6,
6;0665;'0665':6,
6;0680;'0680':6,
6;0682;'0682':6,
6;0683;'0683':6,
6;0684;'0684':6,
6;0685;'0685':6,
6;0686;'0686':6,
6;0687;'0687':6,
7;0760;'0760':7,
7;0761;'0761':7,
7;0763;'0763':7,
7;0764;'0764':7,
7;0765;'0765':7,
7;0767;'0767':7,
7;0780;'0780':7,
7;0781;'0781':7,
8;0821;'0821':8,
8;0834;'0834':8,
8;0840;'0840':8,
8;0860;'0860':8,
8;0861;'0861':8,
8;0862;'0862':8,
8;0880;'0880':8,
8;0881;'0881':8,
8;0882;'0882':8,
8;0883;'0883':8,
8;0884;'0884':8,
8;0885;'0885':8,
9;0980;'0980':9,
10;1060;'1060':10,
10;1080;'1080':10,
10;1081;'1081':10,
10;1082;'1082':10,
10;1083;'1083':10,
12;1214;'1214':12,
12;1230;'1230':12,
12;1231;'1231':12,
12;1233;'1233':12,
12;1256;'1256':12,
12;1257;'1257':12,
12;1260;'1260':12,
