Länskod;Kommunkod;Kommunnamn;Län;Befolkning
1;0114;Upplands Väsby;Stockholms län;2 325 663
1;0115;Vallentuna;Stockholms län;2 325 663
1;0117;Österåker;Stockholms län;2 325 663
1;0120;Värmdö;Stockholms län;2 325 663
1;0123;Järfälla;Stockholms län;2 325 663
1;0125;Ekerö;Stockholms län;2 325 663
1;0126;Huddinge;Stockholms län;2 325 663
1;0127;Botkyrka;Stockholms län;2 325 663
1;0128;Salem;Stockholms län;2 325 663
1;0136;Haninge;Stockholms län;2 325 663
1;0138;Tyresö;Stockholms län;2 325 663
1;0139;Upplands-Bro;Stockholms län;2 325 663
1;0140;Nykvarn;Stockholms län;2 325 663
1;0160;Täby;Stockholms län;2 325 663
1;0162;Danderyd;Stockholms län;2 325 663
1;0163;Sollentuna;Stockholms län;2 325 663
1;0180;Stockholm;Stockholms län;2 325 663
1;0181;Södertälje;Stockholms län;2 325 663
1;0182;Nacka;Stockholms län;2 325 663
1;0183;Sundbyberg;Stockholms län;2 325 663
1;0184;Solna;Stockholms län;2 325 663
1;0186;Lidingö;Stockholms län;2 325 663
1;0187;Vaxholm;Stockholms län;2 325 663
1;0188;Norrtälje;Stockholms län;2 325 663
1;0191;Sigtuna;Stockholms län;2 325 663
1;0192;Nynäshamn;Stockholms län;2 325 663
3;0305;Håbo;Uppsala län;371 560
3;0319;Älvkarleby;Uppsala län;371 560
3;0330;Knivsta;Uppsala län;371 560
3;0331;Heby;Uppsala län;371 560
3;0360;Tierp;Uppsala län;371 560
3;0380;Uppsala;Uppsala län;371 560
3;0381;Enköping;Uppsala län;371 560
3;0382;Östhammar;Uppsala län;371 560
4;0428;Vingåker;Södermanlands län;293 182
4;0461;Gnesta;Södermanlands län;293 182
4;0480;Nyköping;Södermanlands län;293 182
4;0481;Oxelösund;Södermanlands län;293 182
4;0482;Flen;Södermanlands län;293 182
4;0483;Katrineholm;Södermanlands län;293 182
4;0484;Eskilstuna;Södermanlands län;293 182
4;0486;Strängnäs;Södermanlands län;293 182
4;0488;Trosa;Södermanlands län;293 182
5;0509;Ödeshög;Östergötlands län;458 777
5;0512;Ydre;Östergötlands län;458 777
5;0513;Kinda;Östergötlands län;458 777
5;0560;Boxholm;Östergötlands län;458 777
5;0561;Åtvidaberg;Östergötlands län;458 777
5;0562;Finspång;Östergötlands län;458 777
5;0563;Valdemarsvik;Östergötlands län;458 777
5;0580;Linköping;Östergötlands län;458 777
5;0581;Norrköping;Östergötlands län;458 777
5;0582;Söderköping;Östergötlands län;458 777
5;0583;Motala;Östergötlands län;458 777
5;0584;Vadstena;Östergötlands län;458 777
5;0586;Mjölby;Östergötlands län;458 777
6;0604;Aneby;Jönköpings län;359 022
6;0617;Gnosjö;Jönköpings län;359 022
6;0642;Mullsjö;Jönköpings län;359 022
6;0643;Habo;Jönköpings län;359 022
6;0662;Gislaved;Jönköpings län;359 022
6;0665;Vaggeryd;Jönköpings län;359 022
6;0680;Jönköping;Jönköpings län;359 022
6;0682;Nässjö;Jönköpings län;359 022
6;0683;Värnamo;Jönköpings län;359 022
6;0684;Sävsjö;Jönköpings län;359 022
6;0685;Vetlanda;Jönköpings län;359 022
6;0686;Eksjö;Jönköpings län;359 022
6;0687;Tranås;Jönköpings län;359 022
7;0760;Uppvidinge;Kronobergs län;198 143
7;0761;Lessebo;Kronobergs län;198 143
7;0763;Tingsryd;Kronobergs län;198 143
7;0764;Alvesta;Kronobergs län;198 143
7;0765;Älmhult;Kronobergs län;198 143
7;0767;Markaryd;Kronobergs län;198 143
7;0780;Växjö;Kronobergs län;198 143
7;0781;Ljungby;Kronobergs län;198 143
8;0821;Högsby;Kalmar län;244 158
8;0834;Torsås;Kalmar län;244 158
8;0840;Mörbylånga;Kalmar län;244 158
8;0860;Hultsfred;Kalmar län;244 158
8;0861;Mönsterås;Kalmar län;244 158
8;0862;Emmaboda;Kalmar län;244 158
8;0880;Kalmar;Kalmar län;244 158
8;0881;Nybro;Kalmar län;244 158
8;0882;Oskarshamn;Kalmar län;244 158
8;0883;Västervik;Kalmar län;244 158
8;0884;Vimmerby;Kalmar län;244 158
8;0885;Borgholm;Kalmar län;244 158
9;0980;Gotland;Gotlands län;58 778
10;1060;Olofström;Blekinge län;159 648
10;1080;Karlskrona;Blekinge län;159 648
10;1081;Ronneby;Blekinge län;159 648
10;1082;Karlshamn;Blekinge län;159 648
10;1083;Sölvesborg;Blekinge län;159 648
12;1214;Svalöv;Skåne län;1 352 802
12;1230;Staffanstorp;Skåne län;1 352 802
12;1231;Burlöv;Skåne län;1 352 802
12;1233;Vellinge;Skåne län;1 352 802
12;1256;Östra Göinge;Skåne län;1 352 802
12;1257;Örkelljunga;Skåne län;1 352 802
12;1260;Bjuv;Skåne län;1 352 802
12;1261;Kävlinge;Skåne län;1 352 802
12;1262;Lomma;Skåne län;1 352 802
12;1263;Svedala;Skåne län;1 352 802
12;1264;Skurup;Skåne län;1 352 802
12;1265;Sjöbo;Skåne län;1 352 802
12;1266;Hörby;Skåne län;1 352 802
12;1267;Höör;Skåne län;1 352 802
12;1270;Tomelilla;Skåne län;1 352 802
12;1272;Bromölla;Skåne län;1 352 802
12;1273;Osby;Skåne län;1 352 802
12;1275;Perstorp;Skåne län;1 352 802
12;1276;Klippan;Skåne län;1 352 802
12;1277;Åstorp;Skåne län;1 352 802
12;1278;Båstad;Skåne län;1 352 802
12;1280;Malmö;Skåne län;1 352 802
12;1281;Lund;Skåne län;1 352 802
12;1282;Landskrona;Skåne län;1 352 802
12;1283;Helsingborg;Skåne län;1 352 802
12;1284;Höganäs;Skåne län;1 352 802
12;1285;Eslöv;Skåne län;1 352 802
12;1286;Ystad;Skåne län;1 352 802
12;1287;Trelleborg;Skåne län;1 352 802
12;1290;Kristianstad;Skåne län;1 352 802
12;1291;Simrishamn;Skåne län;1 352 802
12;1292;Ängelholm;Skåne län;1 352 802
12;1293;Hässleholm;Skåne län;1 352 802
13;1315;Hylte;Hallands län;327 248
13;1380;Halmstad;Hallands län;327 248
13;1381;Laholm;Hallands län;327 248
13;1382;Falkenberg;Hallands län;327 248
13;1383;Varberg;Hallands län;327 248
13;1384;Kungsbacka;Hallands län;327 248
14;1401;Härryda;Västra Götalands län;1 700 509
14;1402;Partille;Västra Götalands län;1 700 509
14;1407;Öckerö;Västra Götalands län;1 700 509
14;1415;Stenungsund;Västra Götalands län;1 700 509
14;1419;Tjörn;Västra Götalands län;1 700 509
14;1421;Orust;Västra Götalands län;1 700 509
14;1427;Sotenäs;Västra Götalands län;1 700 509
14;1430;Munkedal;Västra Götalands län;1 700 509
14;1435;Tanum;Västra Götalands län;1 700 509
14;1438;Dals-Ed;Västra Götalands län;1 700 509
14;1439;Färgelanda;Västra Götalands län;1 700 509
14;1440;Ale;Västra Götalands län;1 700 509
14;1441;Lerum;Västra Götalands län;1 700 509
14;1442;Vårgårda;Västra Götalands län;1 700 509
14;1443;Bollebygd;Västra Götalands län;1 700 509
14;1444;Grästorp;Västra Götalands län;1 700 509
14;1445;Essunga;Västra Götalands län;1 700 509
14;1446;Karlsborg;Västra Götalands län;1 700 509
14;1447;Gullspång;Västra Götalands län;1 700 509
14;1452;Tranemo;Västra Götalands län;1 700 509
14;1460;Bengtsfors;Västra Götalands län;1 700 509
14;1461;Mellerud;Västra Götalands län;1 700 509
14;1462;Lilla Edet;Västra Götalands län;1 700 509
14;1463;Mark;Västra Götalands län;1 700 509
14;1465;Svenljunga;Västra Götalands län;1 700 509
14;1466;Herrljunga;Västra Götalands län;1 700 509
14;1470;Vara;Västra Götalands län;1 700 509
14;1471;Götene;Västra Götalands län;1 700 509
14;1472;Tibro;Västra Götalands län;1 700 509
14;1473;Töreboda;Västra Götalands län;1 700 509
14;1480;Göteborg;Västra Götalands län;1 700 509
14;1481;Mölndal;Västra Götalands län;1 700 509
14;1482;Kungälv;Västra Götalands län;1 700 509
14;1484;Lysekil;Västra Götalands län;1 700 509
14;1485;Uddevalla;Västra Götalands län;1 700 509
14;1486;Strömstad;Västra Götalands län;1 700 509
14;1487;Vänersborg;Västra Götalands län;1 700 509
14;1488;Trollhättan;Västra Götalands län;1 700 509
14;1489;Alingsås;Västra Götalands län;1 700 509
14;1490;Borås;Västra Götalands län;1 700 509
14;1491;Ulricehamn;Västra Götalands län;1 700 509
14;1492;Åmål;Västra Götalands län;1 700 509
14;1493;Mariestad;Västra Götalands län;1 700 509
14;1494;Lidköping;Västra Götalands län;1 700 509
14;1495;Skara;Västra Götalands län;1 700 509
